season,raceId,raceName,date,time,circuitId
2022,2,Saudi Arabian Grand Prix,27-03-2022,17:00:00,jeddah
2022,3,Australian Grand Prix,10-04-2022,05:00:00,albert_park
2022,4,Emilia Romagna Grand Prix,24-04-2022,13:00:00,imola
2022,5,Miami Grand Prix,08-05-2022,19:30:00,miami
2022,6,Spanish Grand Prix,22-05-2022,13:00:00,catalunya
2022,7,Monaco Grand Prix,29-05-2022,13:00:00,monaco
2022,8,Azerbaijan Grand Prix,12-06-2022,11:00:00,baku
2022,9,Canadian Grand Prix,19-06-2022,18:00:00,villeneuve
2022,10,British Grand Prix,03-07-2022,14:00:00,silverstone
2022,11,Austrian Grand Prix,10-07-2022,13:00:00,red_bull_ring
2022,12,French Grand Prix,24-07-2022,13:00:00,ricard
2022,13,Hungarian Grand Prix,31-07-2022,13:00:00,hungaroring
2022,14,Belgian Grand Prix,28-08-2022,13:00:00,spa
2022,15,Dutch Grand Prix,04-09-2022,13:00:00,zandvoort
2022,16,Italian Grand Prix,11-09-2022,13:00:00,monza
2022,17,Singapore Grand Prix,02-10-2022,12:00:00,marina_bay
2022,18,Japanese Grand Prix,09-10-2022,05:00:00,suzuka
2022,19,United States Grand Prix,23-10-2022,19:00:00,americas
2022,20,Mexico City Grand Prix,30-10-2022,20:00:00,rodriguez
2022,21,São Paulo Grand Prix,13-11-2022,18:00:00,interlagos
2022,22,Abu Dhabi Grand Prix,20-11-2022,13:00:00,yas_marina
2023,1,Bahrain Grand Prix,05-03-2023,15:00:00,bahrain
2023,2,Saudi Arabian Grand Prix,19-03-2023,17:00:00,jeddah
2023,3,Australian Grand Prix,02-04-2023,05:00:00,albert_park
2023,4,Azerbaijan Grand Prix,30-04-2023,11:00:00,baku
2023,5,Miami Grand Prix,07-05-2023,19:30:00,miami
2023,6,Monaco Grand Prix,28-05-2023,13:00:00,monaco
2023,7,Spanish Grand Prix,04-06-2023,13:00:00,catalunya
2023,8,Canadian Grand Prix,18-06-2023,18:00:00,villeneuve
2023,9,Austrian Grand Prix,02-07-2023,13:00:00,red_bull_ring
2023,10,British Grand Prix,09-07-2023,14:00:00,silverstone
2023,11,Hungarian Grand Prix,23-07-2023,13:00:00,hungaroring
2023,12,Belgian Grand Prix,30-07-2023,13:00:00,spa
2023,13,Dutch Grand Prix,27-08-2023,13:00:00,zandvoort
2023,14,Italian Grand Prix,03-09-2023,13:00:00,monza
2023,15,Singapore Grand Prix,17-09-2023,12:00:00,marina_bay
2023,16,Japanese Grand Prix,24-09-2023,05:00:00,suzuka
2023,17,Qatar Grand Prix,08-10-2023,17:00:00,losail
2023,18,United States Grand Prix,22-10-2023,19:00:00,americas
2023,19,Mexico City Grand Prix,29-10-2023,20:00:00,rodriguez
2023,20,São Paulo Grand Prix,05-11-2023,17:00:00,interlagos
2023,21,Las Vegas Grand Prix,19-11-2023,06:00:00,vegas
2023,22,Abu Dhabi Grand Prix,26-11-2023,13:00:00,yas_marina
2024,1,Bahrain Grand Prix,02-03-2024,15:00:00,bahrain
2024,2,Saudi Arabian Grand Prix,09-03-2024,17:00:00,jeddah
2024,3,Australian Grand Prix,24-03-2024,04:00:00,albert_park
2024,4,Japanese Grand Prix,07-04-2024,05:00:00,suzuka
2024,5,Chinese Grand Prix,21-04-2024,07:00:00,shanghai
2024,6,Miami Grand Prix,05-05-2024,20:00:00,miami
2024,7,Emilia Romagna Grand Prix,19-05-2024,13:00:00,imola
2024,8,Monaco Grand Prix,26-05-2024,13:00:00,monaco
2024,9,Canadian Grand Prix,09-06-2024,18:00:00,villeneuve
2024,10,Spanish Grand Prix,23-06-2024,13:00:00,catalunya
2024,11,Austrian Grand Prix,30-06-2024,13:00:00,red_bull_ring
2024,12,British Grand Prix,07-07-2024,14:00:00,silverstone
2024,13,Hungarian Grand Prix,21-07-2024,13:00:00,hungaroring
2024,14,Belgian Grand Prix,28-07-2024,13:00:00,spa
2024,15,Dutch Grand Prix,25-08-2024,13:00:00,zandvoort
2024,16,Italian Grand Prix,01-09-2024,13:00:00,monza
2024,17,Azerbaijan Grand Prix,15-09-2024,11:00:00,baku
2024,18,Singapore Grand Prix,22-09-2024,12:00:00,marina_bay
2024,19,United States Grand Prix,20-10-2024,19:00:00,americas
2024,20,Mexico City Grand Prix,27-10-2024,20:00:00,rodriguez
2024,21,São Paulo Grand Prix,03-11-2024,17:00:00,interlagos
2024,22,Las Vegas Grand Prix,23-11-2024,06:00:00,vegas
2024,23,Qatar Grand Prix,01-12-2024,16:00:00,losail
2024,24,Abu Dhabi Grand Prix,08-12-2024,13:00:00,yas_marina
2025,1,Australian Grand Prix,16-03-2025,04:00:00,albert_park
2025,2,Chinese Grand Prix,23-03-2025,07:00:00,shanghai
2025,3,Japanese Grand Prix,06-04-2025,05:00:00,suzuka
2025,4,Bahrain Grand Prix,13-04-2025,15:00:00,bahrain
2025,5,Saudi Arabian Grand Prix,20-04-2025,17:00:00,jeddah
2025,6,Miami Grand Prix,04-05-2025,20:00:00,miami
2025,7,Emilia Romagna Grand Prix,18-05-2025,13:00:00,imola
2025,8,Monaco Grand Prix,25-05-2025,13:00:00,monaco
2025,9,Spanish Grand Prix,01-06-2025,13:00:00,catalunya
2025,10,Canadian Grand Prix,15-06-2025,18:00:00,villeneuve
2025,11,Austrian Grand Prix,29-06-2025,13:00:00,red_bull_ring
2025,12,British Grand Prix,06-07-2025,14:00:00,silverstone
2025,13,Belgian Grand Prix,27-07-2025,13:00:00,spa
2025,14,Hungarian Grand Prix,03-08-2025,13:00:00,hungaroring
2025,15,Dutch Grand Prix,31-08-2025,13:00:00,zandvoort
2025,16,Italian Grand Prix,07-09-2025,13:00:00,monza
2025,17,Azerbaijan Grand Prix,21-09-2025,11:00:00,baku
2025,18,Singapore Grand Prix,05-10-2025,12:00:00,marina_bay
2025,19,United States Grand Prix,19-10-2025,19:00:00,americas
2025,20,Mexico City Grand Prix,26-10-2025,20:00:00,rodriguez
2025,21,São Paulo Grand Prix,09-11-2025,17:00:00,interlagos
2025,22,Las Vegas Grand Prix,23-11-2025,04:00:00,vegas
2025,23,Qatar Grand Prix,30-11-2025,16:00:00,losail
2025,24,Abu Dhabi Grand Prix,07-12-2025,13:00:00,yas_marina
